날짜,대여 자전거 수,시간(시),온도(°C),습도(%),풍속(m/s),가시거리(10m),태양 복사 에너지(MJ/m²),강수여부,적설여부,계절,공휴일 여부
2018-09-22,925,10,21.8,67,1.9,878,1.88,비 아님,눈 아님,가을,공휴일 아님
2018-07-15,803,12,30.1,58,1.6,1491,2.15,비 아님,눈 아님,여름,공휴일 아님
2018-07-11,240,1,24.6,96,0.5,443,0.0,비,눈 아님,여름,공휴일 아님
2018-06-08,3309,18,26.2,54,2.2,1183,0.88,비 아님,눈 아님,여름,공휴일 아님
2018-08-04,1155,23,28.2,78,2.5,1678,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-08-17,1466,23,25.2,47,1.2,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2017-12-19,55,3,-2.8,58,1.6,1315,0.0,비 아님,눈,겨울,공휴일 아님
2018-02-02,159,1,-5.2,56,0.9,1973,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-09-11,193,4,17.7,52,1.5,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2017-12-13,263,20,-7.6,35,0.8,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-04-18,1738,17,17.8,26,3.3,1439,1.63,비 아님,눈 아님,봄,공휴일 아님
2017-12-04,341,15,-0.1,25,5.8,2000,0.88,비 아님,눈 아님,겨울,공휴일 아님
2018-11-22,644,11,5.1,21,3.2,1965,1.63,비 아님,눈 아님,가을,공휴일 아님
2018-02-01,81,3,-6.2,57,1.6,1874,0.0,비 아님,눈,겨울,공휴일 아님
2018-10-31,2094,18,9.4,48,2.0,2000,0.03,비 아님,눈 아님,가을,공휴일 아님
2018-02-02,310,15,3.6,26,2.4,1687,0.99,비 아님,눈 아님,겨울,공휴일 아님
2018-07-18,762,14,32.7,49,1.5,765,2.62,비 아님,눈 아님,여름,공휴일 아님
2018-11-18,632,22,6.8,53,0.4,1498,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-06-25,785,6,21.3,81,0.7,604,0.05,비 아님,눈 아님,여름,공휴일 아님
2018-06-12,2270,17,26.4,47,3.0,1976,1.76,비 아님,눈 아님,여름,공휴일 아님
2018-08-31,1119,15,30.3,41,2.5,1864,2.72,비 아님,눈 아님,여름,공휴일 아님
2018-11-01,584,0,5.7,62,2.3,1909,0.0,비 아님,눈 아님,가을,공휴일 아님
2017-12-11,361,17,-7.1,44,4.2,2000,0.18,비 아님,눈 아님,겨울,공휴일 아님
2018-05-12,207,4,15.0,61,0.8,867,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-04-28,230,6,10.6,84,1.1,284,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-07-26,1823,8,28.3,72,0.8,1165,0.34,비 아님,눈 아님,여름,공휴일 아님
2018-06-01,1093,13,29.4,33,2.2,1535,3.3,비 아님,눈 아님,여름,공휴일 아님
2018-02-22,259,10,0.9,44,1.1,1826,1.16,비 아님,눈 아님,겨울,공휴일 아님
2018-02-13,294,7,-7.2,70,1.9,1946,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-01-20,259,10,2.1,60,1.2,1005,0.3,비 아님,눈 아님,겨울,공휴일 아님
2018-08-24,208,1,25.7,80,2.0,2000,0.0,비,눈 아님,여름,공휴일 아님
2017-12-31,240,17,1.7,30,2.9,2000,0.22,비 아님,눈 아님,겨울,공휴일
2018-03-24,855,14,12.7,55,3.4,378,2.42,비 아님,눈 아님,봄,공휴일 아님
2018-08-25,708,2,22.9,82,2.1,1829,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-06-18,746,18,29.2,35,2.7,1900,1.27,비 아님,눈 아님,여름,공휴일 아님
2017-12-23,443,15,8.6,64,1.5,269,0.57,비 아님,눈 아님,겨울,공휴일 아님
2018-11-13,330,2,5.6,64,0.1,1556,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-04-18,761,10,13.7,26,2.3,1476,2.25,비 아님,눈 아님,봄,공휴일 아님
2018-02-10,286,14,2.2,24,4.5,1700,1.66,비 아님,눈 아님,겨울,공휴일 아님
2018-05-28,641,6,16.2,0,0.5,1588,0.05,비 아님,눈 아님,봄,공휴일 아님
2018-07-12,231,5,25.9,91,0.4,872,0.0,비,눈 아님,여름,공휴일 아님
2018-02-25,297,19,3.1,40,2.6,1804,0.01,비 아님,눈 아님,겨울,공휴일 아님
2018-08-01,853,9,32.4,53,0.7,1264,1.69,비 아님,눈 아님,여름,공휴일 아님
2018-04-19,20,8,9.6,39,0.8,1003,0.79,비 아님,눈 아님,봄,공휴일 아님
2018-01-03,670,8,-7.0,49,1.5,1971,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-04-18,260,2,8.7,44,1.6,1684,0.0,비 아님,눈 아님,봄,공휴일 아님
2017-12-03,85,8,3.2,92,1.8,244,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-03,385,21,4.7,87,1.2,247,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-30,337,15,4.3,61,0.7,274,0.23,비 아님,눈 아님,겨울,공휴일 아님
2017-12-12,127,1,-11.2,51,1.1,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-05-20,190,6,11.6,46,0.8,2000,0.05,비 아님,눈 아님,봄,공휴일 아님
2018-05-15,2248,19,26.9,49,0.9,1063,0.1,비 아님,눈 아님,봄,공휴일 아님
2018-11-26,115,5,2.1,88,1.4,323,0.0,비 아님,눈,가을,공휴일 아님
2018-03-05,782,19,5.8,53,1.7,2000,0.02,비 아님,눈 아님,봄,공휴일 아님
2018-06-20,1184,13,26.2,51,3.2,1078,3.36,비 아님,눈 아님,여름,공휴일 아님
2018-06-04,742,6,18.9,53,0.3,1871,0.04,비 아님,눈 아님,여름,공휴일 아님
2018-08-23,769,12,31.9,49,1.9,2000,1.85,비 아님,눈 아님,여름,공휴일 아님
2018-02-11,58,3,-7.2,43,2.0,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-08-08,1822,20,31.0,66,2.9,1857,0.02,비 아님,눈 아님,여름,공휴일 아님
2018-07-05,568,2,23.6,80,1.5,879,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-06-09,352,4,19.0,83,0.4,473,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-03-21,223,1,1.5,40,2.8,2000,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-10-10,1041,14,14.0,43,2.8,2000,1.13,비 아님,눈 아님,가을,공휴일 아님
2018-10-24,1827,19,13.9,61,1.9,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-04-18,1149,15,19.0,21,3.3,1716,2.88,비 아님,눈 아님,봄,공휴일 아님
2018-11-17,151,6,1.0,77,0.6,1259,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-16,276,3,25.1,85,0.7,1507,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-01-01,81,7,-4.7,56,1.1,2000,0.0,비 아님,눈 아님,겨울,공휴일
2018-03-20,677,7,3.8,44,4.1,2000,0.02,비 아님,눈 아님,봄,공휴일 아님
2018-06-23,1932,22,23.0,74,2.4,473,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-02-04,60,2,-10.5,49,2.0,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-20,165,20,-1.9,86,0.9,700,0.0,비 아님,눈,겨울,공휴일 아님
2018-02-08,286,15,1.4,25,2.2,1686,1.81,비 아님,눈 아님,겨울,공휴일 아님
2018-02-17,14,5,-5.7,31,2.3,1999,0.0,비 아님,눈 아님,겨울,공휴일
2018-08-01,561,16,39.4,39,2.5,1897,2.42,비 아님,눈 아님,여름,공휴일 아님
2017-12-09,275,19,1.5,48,0.4,1878,0.0,비 아님,눈 아님,겨울,공휴일 아님
2017-12-20,209,12,-3.2,49,1.3,1723,0.53,비 아님,눈,겨울,공휴일 아님
2018-06-29,956,11,24.8,74,1.8,644,1.41,비 아님,눈 아님,여름,공휴일 아님
2018-11-15,942,12,13.8,43,0.9,987,1.61,비 아님,눈 아님,가을,공휴일 아님
2018-11-13,990,9,6.0,59,1.0,719,0.6,비 아님,눈 아님,가을,공휴일 아님
2018-01-12,259,17,-6.5,22,1.5,2000,0.28,비 아님,눈 아님,겨울,공휴일 아님
2018-07-05,2594,18,26.8,71,1.2,2000,0.21,비 아님,눈 아님,여름,공휴일 아님
2018-01-29,172,22,-8.8,40,3.0,1985,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-07-19,827,15,33.7,41,2.5,1924,3.04,비 아님,눈 아님,여름,공휴일 아님
2018-08-22,784,12,33.9,45,1.4,1923,2.95,비 아님,눈 아님,여름,공휴일 아님
2018-04-18,515,0,9.6,44,2.2,1417,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-07-23,1157,23,30.0,58,1.6,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-01-02,58,5,-3.1,67,0.6,1384,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-05-17,51,4,19.2,98,2.4,1965,0.0,비,눈 아님,봄,공휴일 아님
2018-07-09,68,16,20.2,91,1.2,1637,0.42,비,눈 아님,여름,공휴일 아님
2018-08-17,791,14,32.7,27,2.0,1964,3.21,비 아님,눈 아님,여름,공휴일 아님
2018-11-26,214,1,3.1,84,1.0,365,0.0,비 아님,눈,가을,공휴일 아님
2017-12-27,314,17,-4.2,26,2.2,2000,0.2,비 아님,눈 아님,겨울,공휴일 아님
2018-11-20,699,11,7.5,29,1.3,1926,1.55,비 아님,눈 아님,가을,공휴일 아님
2018-06-22,1116,12,29.8,28,1.3,1777,3.21,비 아님,눈 아님,여름,공휴일 아님
2018-06-10,2026,21,22.1,55,1.5,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-02-04,154,18,-7.0,26,4.1,2000,0.16,비 아님,눈 아님,겨울,공휴일 아님
2018-09-01,1845,17,29.6,42,1.3,2000,0.98,비 아님,눈 아님,가을,공휴일 아님
2018-08-26,381,7,20.7,85,0.5,1052,0.11,비 아님,눈 아님,여름,공휴일 아님
2018-01-16,51,4,0.8,65,0.7,502,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-09-06,247,5,21.7,87,0.6,846,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-04-28,1945,16,20.4,25,4.7,1990,2.45,비 아님,눈 아님,봄,공휴일 아님
2018-03-19,91,6,6.5,88,1.2,417,0.0,비,눈 아님,봄,공휴일 아님
2018-08-07,770,12,31.9,57,0.9,1981,1.28,비 아님,눈 아님,여름,공휴일 아님
2018-08-23,304,3,29.7,52,1.4,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-06-15,1467,7,18.2,75,1.4,2000,0.56,비 아님,눈 아님,여름,공휴일 아님
2018-10-14,185,4,7.9,76,1.3,771,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-01-09,281,21,-4.8,59,0.9,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-01-21,258,20,0.3,27,0.4,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-05-06,1290,22,16.4,80,1.2,2000,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-03-14,82,4,14.0,70,1.5,1648,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-05-28,1258,15,28.4,43,3.1,900,2.28,비 아님,눈 아님,봄,공휴일 아님
2017-12-05,393,22,-2.8,49,0.0,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-08-03,266,5,30.5,72,0.5,1084,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-02-28,10,21,2.4,95,2.5,1349,0.0,비,눈 아님,겨울,공휴일 아님
2018-08-02,265,5,30.7,57,0.9,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-06-07,1939,22,20.9,71,1.0,763,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-15,223,5,24.5,85,0.7,1345,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-03,906,11,29.2,66,1.4,1953,2.72,비 아님,눈 아님,여름,공휴일 아님
2018-03-07,566,9,3.8,58,2.0,1785,0.49,비 아님,눈 아님,봄,공휴일 아님
2018-10-08,123,4,10.4,61,0.6,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-01-25,105,10,-15.3,33,2.4,2000,0.56,비 아님,눈,겨울,공휴일 아님
2018-01-18,303,20,1.1,44,1.2,1171,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-02-19,59,2,-1.4,41,1.1,1582,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-03-03,218,0,0.5,34,0.4,1889,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-09-06,531,2,21.6,86,0.2,1353,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-03-29,781,15,20.8,42,3.1,576,2.1,비 아님,눈 아님,봄,공휴일 아님
2018-05-27,2044,20,20.6,41,2.3,1788,0.09,비 아님,눈 아님,봄,공휴일 아님
2018-03-18,174,3,5.5,57,1.1,1079,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-11-26,175,2,2.8,87,1.1,321,0.0,비 아님,눈,가을,공휴일 아님
2018-10-29,1377,19,8.1,53,3.7,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-11-23,582,10,1.3,27,0.9,1856,1.13,비 아님,눈 아님,가을,공휴일 아님
2018-11-12,702,23,6.9,60,0.8,1610,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-02-18,103,1,-4.4,33,1.4,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-08-19,645,9,26.3,50,0.7,1980,1.28,비 아님,눈 아님,여름,공휴일 아님
2018-08-08,1266,17,35.0,37,2.6,2000,1.72,비 아님,눈 아님,여름,공휴일 아님
2018-07-30,1224,17,35.4,44,0.8,2000,1.1,비 아님,눈 아님,여름,공휴일 아님
2018-08-18,1398,16,31.8,33,2.1,2000,1.88,비 아님,눈 아님,여름,공휴일 아님
2018-01-03,197,23,-5.9,54,0.8,1968,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-06-05,1602,7,18.8,64,0.7,1099,0.48,비 아님,눈 아님,여름,공휴일 아님
2017-12-26,481,18,-4.7,23,3.4,2000,0.01,비 아님,눈 아님,겨울,공휴일 아님
2018-04-08,44,19,2.5,94,1.8,349,0.0,비,눈 아님,봄,공휴일 아님
2018-10-23,243,3,10.1,70,1.1,606,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-08-29,642,10,26.4,78,2.7,2000,0.44,비 아님,눈 아님,여름,공휴일 아님
2018-01-13,106,10,-5.5,72,0.7,1354,0.29,비 아님,눈,겨울,공휴일 아님
2018-03-01,28,4,1.6,97,1.1,636,0.0,비 아님,눈 아님,봄,공휴일
2018-10-07,372,3,15.5,88,1.7,1998,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-01-14,250,18,4.1,53,1.3,1132,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-03-12,581,12,11.7,32,1.6,690,1.99,비 아님,눈 아님,봄,공휴일 아님
2017-12-08,310,11,-3.7,39,1.4,1595,0.93,비 아님,눈 아님,겨울,공휴일 아님
2018-11-17,830,11,7.8,38,0.8,1369,1.65,비 아님,눈 아님,가을,공휴일 아님
2018-06-28,1239,22,21.6,94,1.1,766,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-30,666,15,35.5,43,1.3,2000,1.61,비 아님,눈 아님,여름,공휴일 아님
2018-09-06,1089,15,27.8,48,3.0,1880,0.93,비 아님,눈 아님,가을,공휴일 아님
2018-07-31,582,10,32.7,43,1.2,2000,2.31,비 아님,눈 아님,여름,공휴일 아님
2018-02-07,116,0,-12.3,47,0.4,1848,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-06-01,2505,19,26.8,35,1.9,2000,0.54,비 아님,눈 아님,여름,공휴일 아님
2018-07-27,1507,22,29.9,74,2.0,1201,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-03-04,475,14,11.2,83,1.1,518,0.45,비 아님,눈 아님,봄,공휴일 아님
2018-10-30,162,5,1.1,68,0.6,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-06-19,1381,9,22.4,62,0.9,761,0.93,비 아님,눈 아님,여름,공휴일 아님
2018-07-03,2598,19,30.4,62,0.9,2000,0.65,비,눈 아님,여름,공휴일 아님
2018-10-16,1113,14,19.9,29,1.9,1833,2.09,비 아님,눈 아님,가을,공휴일 아님
2018-05-15,170,4,16.1,74,0.8,440,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-05-31,844,0,15.8,82,1.6,546,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-04-25,1123,7,6.4,51,0.3,1963,0.27,비 아님,눈 아님,봄,공휴일 아님
2018-06-28,1039,20,21.0,96,0.1,1431,0.02,비 아님,눈 아님,여름,공휴일 아님
2018-05-15,241,3,16.6,74,0.4,402,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-11-28,798,15,10.5,16,2.7,1509,1.29,비 아님,눈 아님,가을,공휴일 아님
2018-09-27,2189,17,24.3,31,1.5,2000,1.17,비 아님,눈 아님,가을,공휴일 아님
2018-01-25,78,0,-15.9,43,3.8,2000,0.0,비 아님,눈,겨울,공휴일 아님
2018-08-16,902,16,34.5,37,1.9,2000,2.36,비 아님,눈 아님,여름,공휴일 아님
2018-02-15,170,11,0.1,22,2.0,2000,1.84,비 아님,눈 아님,겨울,공휴일
2018-04-23,21,2,10.2,90,2.2,490,0.0,비,눈 아님,봄,공휴일 아님
2018-07-29,895,17,36.3,36,1.5,2000,1.87,비 아님,눈 아님,여름,공휴일 아님
2018-04-20,708,10,18.2,36,1.0,620,1.99,비 아님,눈 아님,봄,공휴일 아님
2018-10-25,1513,21,14.5,50,0.7,1741,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-19,695,10,29.4,56,2.2,1153,2.38,비 아님,눈 아님,여름,공휴일 아님
2018-01-18,261,11,1.8,75,1.8,301,0.35,비 아님,눈 아님,겨울,공휴일 아님
2018-06-05,448,2,19.7,66,0.5,1591,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-11-20,659,10,5.1,33,1.4,1842,1.1,비 아님,눈 아님,가을,공휴일 아님
2018-04-05,70,12,7.3,95,2.2,676,0.3,비,눈 아님,봄,공휴일 아님
2018-09-16,571,23,21.3,80,2.6,1203,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-24,332,3,28.2,65,0.3,1999,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-05,1011,15,28.8,66,0.9,1806,1.55,비 아님,눈 아님,여름,공휴일 아님
2017-12-13,267,12,-6.5,30,2.9,1945,1.17,비 아님,눈 아님,겨울,공휴일 아님
2018-01-17,314,16,8.3,54,1.2,330,0.44,비 아님,눈 아님,겨울,공휴일 아님
2018-03-07,1032,8,2.6,63,1.6,1857,0.14,비 아님,눈 아님,봄,공휴일 아님
2018-06-15,1118,11,22.9,57,1.4,1918,2.24,비 아님,눈 아님,여름,공휴일 아님
2018-06-09,616,7,20.2,73,1.1,708,0.41,비 아님,눈 아님,여름,공휴일 아님
2018-07-08,2348,20,25.7,53,1.3,2000,0.03,비 아님,눈 아님,여름,공휴일 아님
2018-06-08,1416,15,26.2,51,3.3,1104,2.87,비 아님,눈 아님,여름,공휴일 아님
2018-11-19,889,9,4.6,60,0.8,967,0.46,비 아님,눈 아님,가을,공휴일 아님
2018-08-11,1006,17,35.8,36,2.2,2000,1.58,비 아님,눈 아님,여름,공휴일 아님
2018-02-26,289,10,1.9,46,1.1,1233,1.39,비 아님,눈 아님,겨울,공휴일 아님
2018-01-18,68,5,2.6,82,2.0,229,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-05-31,2047,17,27.2,42,2.9,1828,1.79,비 아님,눈 아님,봄,공휴일 아님
2017-12-21,84,6,-4.8,91,1.1,266,0.0,비 아님,눈,겨울,공휴일 아님
2018-01-19,58,4,-0.7,45,1.4,1241,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-07-10,1665,18,26.2,82,0.4,1408,0.21,비 아님,눈 아님,여름,공휴일 아님
2018-05-01,166,5,18.0,85,0.8,346,0.0,비 아님,눈 아님,봄,공휴일
2018-09-27,770,0,16.7,50,1.7,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-05-15,1944,21,25.6,56,0.7,884,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-07-15,946,15,32.9,49,2.6,1631,2.81,비 아님,눈 아님,여름,공휴일 아님
2018-07-05,326,5,23.5,80,0.3,838,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-09-21,45,7,17.6,96,1.7,310,0.0,비,눈 아님,가을,공휴일 아님
2018-04-06,659,19,4.8,48,3.8,1126,0.17,비 아님,눈 아님,봄,공휴일 아님
2018-02-11,150,18,-4.6,56,3.6,2000,0.09,비 아님,눈 아님,겨울,공휴일 아님
2018-08-21,376,2,27.6,60,4.3,1854,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-06-28,1040,13,27.2,68,1.8,1575,1.1,비 아님,눈 아님,여름,공휴일 아님
2018-10-16,1108,13,19.4,31,2.0,1862,2.02,비 아님,눈 아님,가을,공휴일 아님
2018-07-22,1088,0,28.1,56,0.2,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-11-20,955,9,2.3,43,1.2,1892,0.52,비 아님,눈 아님,가을,공휴일 아님
2018-07-17,372,3,24.8,80,1.0,1988,0.0,비 아님,눈 아님,여름,공휴일 아님
2017-12-28,407,17,0.2,58,2.0,1159,0.08,비 아님,눈 아님,겨울,공휴일 아님
2018-06-09,1156,10,25.8,49,1.3,1442,2.42,비 아님,눈 아님,여름,공휴일 아님
2018-06-07,418,2,18.8,88,0.3,500,0.0,비 아님,눈 아님,여름,공휴일 아님
2017-12-27,466,18,-5.2,32,2.2,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-08-02,547,11,35.3,45,1.7,1829,2.27,비 아님,눈 아님,여름,공휴일 아님
2017-12-08,780,8,-7.0,59,0.8,1559,0.01,비 아님,눈 아님,겨울,공휴일 아님
2018-08-02,215,4,31.1,54,1.9,2000,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-24,610,10,32.4,54,0.9,1631,1.45,비 아님,눈 아님,여름,공휴일 아님
2018-01-02,675,18,-0.8,24,2.3,2000,0.01,비 아님,눈 아님,겨울,공휴일 아님
2018-06-03,1399,14,29.8,26,2.2,1818,3.2,비 아님,눈 아님,여름,공휴일 아님
2018-05-12,11,12,12.3,97,0.8,238,0.14,비,눈 아님,봄,공휴일 아님
2018-07-11,187,6,24.5,97,0.1,290,0.0,비,눈 아님,여름,공휴일 아님
2018-05-19,1780,21,19.5,34,1.3,2000,0.0,비 아님,눈 아님,봄,공휴일 아님
2017-12-04,568,19,-2.9,32,3.2,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-03-07,620,15,10.2,34,2.3,1919,1.19,비 아님,눈 아님,봄,공휴일 아님
2018-01-28,111,10,-5.9,35,1.9,1940,0.53,비 아님,눈 아님,겨울,공휴일 아님
2018-08-26,657,13,27.8,54,3.5,2000,1.15,비 아님,눈 아님,여름,공휴일 아님
2018-11-20,369,6,0.7,50,1.0,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-04-02,1218,16,23.0,47,4.1,1417,2.0,비 아님,눈 아님,봄,공휴일 아님
2017-12-23,312,2,5.6,76,1.6,641,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-02-08,253,14,0.9,25,2.4,1730,2.09,비 아님,눈 아님,겨울,공휴일 아님
2018-01-11,187,12,-8.6,40,2.6,1700,1.11,비 아님,눈 아님,겨울,공휴일 아님
2018-07-09,71,22,20.4,96,1.1,1641,0.0,비,눈 아님,여름,공휴일 아님
2018-08-22,2087,19,35.2,41,0.5,2000,0.31,비 아님,눈 아님,여름,공휴일 아님
2018-03-22,81,5,1.1,88,0.9,927,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-05-17,144,1,22.0,97,2.1,192,0.0,비,눈 아님,봄,공휴일 아님
2018-09-29,513,7,14.7,76,0.8,2000,0.02,비 아님,눈 아님,가을,공휴일 아님
2017-12-05,269,10,-5.5,26,2.8,1967,0.64,비 아님,눈 아님,겨울,공휴일 아님
2018-04-13,1063,14,18.7,14,1.6,2000,1.25,비 아님,눈 아님,봄,공휴일 아님
2018-01-12,119,10,-13.0,37,2.2,1960,0.59,비 아님,눈 아님,겨울,공휴일 아님
2017-12-06,381,11,1.6,57,1.2,1261,0.93,비 아님,눈 아님,겨울,공휴일 아님
2018-02-15,273,16,3.2,16,3.0,2000,1.45,비 아님,눈 아님,겨울,공휴일
2018-06-14,1056,13,22.8,67,1.2,930,1.55,비 아님,눈 아님,여름,공휴일 아님
2018-11-10,372,3,10.3,81,0.7,361,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-06-25,1293,9,25.4,61,1.0,1079,1.28,비 아님,눈 아님,여름,공휴일 아님
2018-02-04,190,15,-6.4,30,4.9,1939,1.89,비 아님,눈 아님,겨울,공휴일 아님
2018-02-28,419,9,6.2,55,2.4,478,0.13,비 아님,눈 아님,겨울,공휴일 아님
2018-01-26,54,2,-15.6,33,2.2,2000,0.0,비 아님,눈,겨울,공휴일 아님
2018-03-29,1281,8,13.3,80,1.2,369,0.14,비 아님,눈 아님,봄,공휴일 아님
2018-02-18,238,19,1.5,30,2.6,2000,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-03-05,4,4,5.1,90,2.6,1005,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-09-05,676,6,19.8,82,0.5,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-17,222,4,24.4,80,1.0,1112,0.0,비 아님,눈 아님,여름,공휴일 아님
2018-07-21,1655,20,31.5,53,1.8,2000,0.08,비 아님,눈 아님,여름,공휴일 아님
2017-12-29,294,22,0.8,77,1.4,293,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-08-29,160,17,24.6,93,0.9,1451,0.0,비,눈 아님,여름,공휴일 아님
2018-04-13,1641,19,16.9,19,0.5,2000,0.06,비 아님,눈 아님,봄,공휴일 아님
2017-12-07,259,23,-3.2,50,2.1,1887,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-11-27,593,23,5.8,34,2.6,763,0.0,비 아님,눈 아님,가을,공휴일 아님
2017-12-16,90,7,-6.7,64,2.1,977,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-03-15,411,17,10.9,98,1.3,222,0.09,비 아님,눈 아님,봄,공휴일 아님
2018-08-27,104,10,21.7,97,1.0,1249,0.29,비,눈 아님,여름,공휴일 아님
2018-07-02,832,18,24.9,87,1.9,1742,0.25,비 아님,눈 아님,여름,공휴일 아님
2018-01-04,417,19,-2.7,39,1.4,1616,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-11-25,813,17,9.0,59,0.7,677,0.1,비 아님,눈,가을,공휴일 아님
2018-02-07,448,18,-4.0,27,2.5,2000,0.16,비 아님,눈 아님,겨울,공휴일 아님
2018-02-01,257,21,-3.2,47,1.8,1917,0.0,비 아님,눈 아님,겨울,공휴일 아님
2018-10-10,1775,17,13.1,45,3.1,2000,0.62,비 아님,눈 아님,가을,공휴일 아님
2018-03-04,26,20,11.3,80,1.2,1978,0.0,비 아님,눈 아님,봄,공휴일 아님
2018-07-01,54,5,22.6,86,0.5,1076,0.0,비,눈 아님,여름,공휴일 아님
2018-11-13,1126,22,8.1,50,0.5,2000,0.0,비 아님,눈 아님,가을,공휴일 아님
2018-07-29,473,10,32.4,48,1.9,1952,2.33,비 아님,눈 아님,여름,공휴일 아님
2018-09-01,925,9,24.1,56,2.1,1956,1.46,비 아님,눈 아님,가을,공휴일 아님
2018-03-06,361,23,3.5,44,0.9,1905,0.0,비 아님,눈 아님,봄,공휴일 아님
