Airport Name,Aircraft Make Model,Effect Amount of damage,Flight Date,Aircraft Airline Operator,Origin State,Phase of flight,Wildlife Size,Wildlife Species,Time of day,Cost Other,Cost Repair,Cost Total $,Speed IAS in knots
DALLAS/FORT WORTH INTL ARPT,EMB-120,,1995-05-09,ATLANTIC SOUTHEAST,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,B-727-200,,1990-11-10,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,150.0
PORT COLUMBUS INTL,B-757-200,,2000-01-05,DELTA AIR LINES,Ohio,Take-off run,Medium,Red-tailed hawk,Day,0,0,0,
FORT LAUDERDALE/HOLLYWOOD INTL,MD-82,,1992-09-17,CONTINENTAL AIRLINES,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,132.0
DALLAS/FORT WORTH INTL ARPT,MD-82,,2002-05-25,AMERICAN AIRLINES,Texas,Landing Roll,Small,Rock pigeon,Day,0,0,0,110.0
PORT COLUMBUS INTL,DORNIER 328,,2002-04-02,ATLANTIC COAST AIRLINES,Ohio,Take-off run,Small,European starling,Day,0,0,0,
ORLANDO INTL,MD-82,,1992-12-22,AMERICAN AIRLINES,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
PORTLAND INTL (OR),B-757-200,,1995-01-12,UPS AIRLINES,Oregon,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
NEWARK LIBERTY INTL ARPT,MD-11,,1998-09-05,FEDEX EXPRESS,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
WASHINGTON DULLES INTL ARPT,B-727-200,,2000-10-06,UNITED AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
BARKSDALE AIR FORCE BASE ARPT,B-52G,,1992-08-13,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,115.0
AUSTIN-BERGSTROM INTL,B-737-300,,1998-08-07,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
DALLAS/FORT WORTH INTL ARPT,MD-80,,2001-01-07,AMERICAN AIRLINES,Texas,Landing Roll,Large,Coyote,Night,0,0,0,
WASHINGTON DULLES INTL ARPT,BA-125-800,Substantial,2001-08-14,EXECUTIVE JET AVIATION,DC,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,150.0
NASHVILLE INTL,FOKKER F100,,1994-08-09,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,130.0
CHICAGO O'HARE INTL ARPT,BE-1900,,1999-03-24,GREAT LAKES AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-80,,1999-02-17,AMERICAN AIRLINES,Kentucky,Landing Roll,Small,Killdeer,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-767-300,,2001-11-04,DELTA AIR LINES,Kentucky,Climb,Small,European starling,Day,0,0,0,165.0
MINETA SAN JOSE INTL,B-737-300,,1998-07-17,SOUTHWEST AIRLINES,California,Climb,Small,Unknown bird - small,Night,0,0,0,180.0
PORTLAND INTL (OR),F-15,,1995-09-22,MILITARY,Oregon,Climb,Small,Barn swallow,Day,0,0,0,230.0
CHARLESTON AFB/INTL ARPT,C-17A,,2000-10-19,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,200.0
LIHUE ARPT,B-737-200,,1998-05-22,ALOHA AIRLINES,Hawaii,Take-off run,Small,Unknown bird - small,Day,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,A-320,,2001-10-15,US AIRWAYS*,North Carolina,Climb,Small,Unknown bird - small,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1992-12-01,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,160.0
MINETA SAN JOSE INTL,MD-80,,1990-05-08,AMERICAN AIRLINES,California,Take-off run,Small,American robin,Day,0,0,0,135.0
LOUISVILLE INTL ARPT,B-757-200,,1995-05-10,UNKNOWN,Kentucky,Descent,Medium,Unknown bird - medium,Night,0,0,0,210.0
CHICAGO O'HARE INTL ARPT,B-727,Minor,1994-01-14,CONTINENTAL AIRLINES,Illinois,Approach,Large,Canada goose,Day,0,0,0,130.0
LOS ANGELES INTL,B-737-300,,1998-09-19,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,160.0
AUSTIN-BERGSTROM INTL,B-727,,1997-03-21,DELTA AIR LINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,245.0
SACRAMENTO INTL,MD-80,,1996-02-28,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Dawn,0,0,0,165.0
AUSTIN-BERGSTROM INTL,B-737-200,,1995-05-03,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
LAMBERT-ST LOUIS INTL,B-737-200,,1990-06-06,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
LAGUARDIA NY,MD-82,,1995-09-28,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,130.0
LIHUE ARPT,B-737,,1992-10-20,ALOHA AIRLINES,Hawaii,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,
BALTIMORE WASH INTL,B-727-100,,1997-10-02,FEDEX EXPRESS,Maryland,Climb,Small,Unknown bird - small,Night,0,0,0,
BALTIMORE WASH INTL,B-737,Minor,1994-11-03,US AIRWAYS*,Maryland,Landing Roll,Large,White-tailed deer,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-737-300,,2001-11-21,AMERICA WEST AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,100.0
CLEVELAND-HOPKINS INTL ARPT,BE-1900,,1996-12-07,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
CLEVELAND-HOPKINS INTL ARPT,BE-1900,,1997-08-29,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,100.0
ATLANTA INTL,MD-88,,1995-10-14,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Day,0,0,0,160.0
METRO OAKLAND INTL,B-737-300,,1991-07-02,SOUTHWEST AIRLINES,California,Climb,Small,American robin,Day,0,0,0,145.0
PORTLAND INTL (OR),MD-83,,1991-05-16,AMERICAN AIRLINES,Oregon,Climb,Small,Unknown bird - small,Day,0,0,0,200.0
BARKSDALE AIR FORCE BASE ARPT,B-52,,1990-04-25,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,140.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1991-09-04,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,160.0
CHARLESTON AFB/INTL ARPT,DC-9,,1992-08-08,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,122.0
BALTIMORE WASH INTL,A-320,Minor,1995-11-19,UNITED AIRLINES,Maryland,Landing Roll,Large,White-tailed deer,Night,0,0,0,
JOHN F KENNEDY INTL,B-767,,1990-10-24,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,127.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737,,1998-10-27,DELTA AIR LINES,Kentucky,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
TETERBORO AIRPORT,LEARJET-55,Minor,1994-05-10,BUSINESS,New Jersey,Climb,Medium,Unknown bird - medium,Day,0,14331,14331,180.0
DALLAS/FORT WORTH INTL ARPT,MD-82,,1992-11-30,AMERICAN AIRLINES,Texas,Take-off run,Medium,Red-tailed hawk,Day,0,0,0,
TETERBORO AIRPORT,BE-95,,1998-06-02,BUSINESS,New Jersey,Take-off run,Small,Mourning dove,Day,0,0,0,40.0
BALTIMORE WASH INTL,CL-RJ100/200,,2001-08-13,MESA AIRLINES,Maryland,Approach,Small,Unknown bird - small,Day,0,0,0,138.0
DALLAS/FORT WORTH INTL ARPT,MD-82,,1997-06-06,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
SEATTLE-TACOMA INTL,B-757-200,Medium,1998-09-14,DELTA AIR LINES,Washington,Descent,Large,Unknown bird - large,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,,1990-12-17,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
DALLAS/FORT WORTH INTL ARPT,SAAB-340,,2002-07-13,AMERICAN EAGLE AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,170.0
WASHINGTON DULLES INTL ARPT,B-757-200,,2000-11-25,DELTA AIR LINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
DALLAS/FORT WORTH INTL ARPT,KC-135R,,1995-03-21,MILITARY,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,160.0
CHICAGO MIDWAY INTL ARPT,DC-9,,1997-08-01,CONTINENTAL AIRLINES,Illinois,Take-off run,Medium,Herring gull,Day,0,0,0,
DENVER INTL AIRPORT,B-737-200,,2000-11-11,FRONTIER AIRLINES,Colorado,Approach,Small,Unknown bird - small,Day,0,0,0,145.0
PORTLAND INTL (OR),B-737-300,,1994-03-21,AMERICA WEST AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Day,0,0,0,
SACRAMENTO INTL,B-737-300,,1997-07-09,UNITED AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,,1995-10-13,ATLANTIC COAST AIRLINES,DC,Descent,Small,Unknown bird - small,Dawn,0,0,0,210.0
NEW ORLEANS INTL,B-737-300,Substantial,1990-01-11,SOUTHWEST AIRLINES,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,140.0
CHARLESTON AFB/INTL ARPT,C-21A,,2001-07-07,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Day,0,0,0,110.0
RONALD REAGAN WASHINGTON NATL,B-727,,1991-04-17,AMERICAN AIRLINES,DC,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
HONOLULU INTL ARPT,DC-9-50,,1999-01-02,HAWAIIAN AIR,Hawaii,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SALT LAKE CITY INTL,B-737-200,Minor,1995-11-01,DELTA AIR LINES,Utah,Approach,Large,Unknown bird - large,Night,0,0,0,190.0
INDIANAPOLIS INTL,B-737,,1992-08-18,SOUTHWEST AIRLINES,Indiana,Climb,Small,Unknown bird - small,Day,0,0,0,150.0
SAN ANTONIO INTL,B-737-300,Substantial,1996-09-11,US AIRWAYS*,Texas,Take-off run,Large,Unknown bird - large,Day,0,0,0,160.0
DENVER INTL AIRPORT,MD-82,,1997-06-19,AMERICAN AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,150.0
LIHUE ARPT,C-206 STATIO,,1991-03-25,BUSINESS,Hawaii,Landing Roll,Small,Zebra dove,Day,0,0,0,45.0
CHICAGO O'HARE INTL ARPT,MD-80,,1991-08-03,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
DALLAS/FORT WORTH INTL ARPT,B-727,,1997-05-23,DELTA AIR LINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,B-727-200,,1992-08-31,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,136.0
DALLAS/FORT WORTH INTL ARPT,SAAB-340,,1997-02-09,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,B-727,,1994-06-21,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,145.0
RONALD REAGAN WASHINGTON NATL,B-727,,1998-09-23,AMERICAN AIRLINES,DC,Climb,Medium,Unknown bird - medium,Day,0,0,0,150.0
CHICAGO O'HARE INTL ARPT,MD-82,,1998-08-30,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
NEWARK LIBERTY INTL ARPT,DC-10,,1998-09-09,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
LAGUARDIA NY,DHC8 DASH 8,,1998-06-01,ALLEGHENYAIRLINES,New York,Landing Roll,Small,European starling,Day,0,0,0,
NEW ORLEANS INTL,BE-1900,,1994-10-05,MESA AIRLINES,Louisiana,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
PORT COLUMBUS INTL,MD-80,,2001-05-07,AMERICAN AIRLINES,Ohio,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
PORTLAND INTL (OR),B-757-200,,1992-10-03,UPS AIRLINES,Oregon,Approach,Small,Unknown bird - small,Dawn,0,0,0,140.0
SAN FRANCISCO INTL ARPT,B-747,,1999-01-16,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,,1992-06-14,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,FOKKER F100,,1994-09-28,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Dusk,0,0,0,127.0
CLEVELAND-HOPKINS INTL ARPT,MD-80,,1993-08-09,CONTINENTAL AIRLINES,Ohio,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
HONOLULU INTL ARPT,DC-9-50,Minor,1992-10-31,HAWAIIAN AIR,Hawaii,Approach,Small,Unknown bird - small,Dawn,0,0,0,175.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1991-09-25,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,150.0
LOGAN INTL,B-727,,1991-12-22,DELTA AIR LINES,Massachusetts,Approach,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1994-05-04,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,160.0
NASHVILLE INTL,B-737,,1994-08-29,SOUTHWEST AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
BALTIMORE WASH INTL,B-737-200,,1999-12-13,US AIRWAYS*,Maryland,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
LAMBERT-ST LOUIS INTL,B-737-200,,1991-10-03,SOUTHWEST AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,210.0
SALT LAKE CITY INTL,B-767-300,,2000-09-20,DELTA AIR LINES,Utah,Approach,Large,Unknown bird - large,Night,0,0,0,140.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,SAAB-340,,1991-05-17,COMAIR AIRLINES,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120.0
JOHN F KENNEDY INTL,A-300,,1994-10-02,AMERICAN AIRLINES,New York,Approach,Small,Unknown bird - small,Night,0,0,0,131.0
PORTLAND INTL (OR),DORNIER 328,,1995-09-23,HORIZON AIR,Oregon,Take-off run,Large,Unknown bird - large,Day,0,0,0,55.0
NEW ORLEANS INTL,B-727-100,,1994-01-04,GOVERNMENT,Louisiana,Approach,Small,Killdeer,Day,0,0,0,
SALT LAKE CITY INTL,B-737,,1993-09-14,CONTINENTAL AIRLINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
LAGUARDIA NY,B-737-200,Substantial,1994-04-22,US AIRWAYS*,New York,Landing Roll,Medium,Herring gull,Day,0,0,0,100.0
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,,1996-08-20,US AIRWAYS*,North Carolina,Landing Roll,Small,Mourning dove,Day,0,0,0,
KANSAS CITY INTL,B-737-300,,2000-11-11,SOUTHWEST AIRLINES,Missouri,Approach,Small,American robin,Night,0,0,0,
DALLAS/FORT WORTH INTL ARPT,DC-10-10,,1992-04-17,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
ATLANTA INTL,A-319,,1999-10-06,AIR CANADA,Georgia,Climb,Medium,Unknown bird - medium,Day,0,0,0,200.0
SACRAMENTO INTL,B-737,,1998-08-31,UNITED AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
PORTLAND INTL (OR),DHC8 DASH 8,,1998-08-17,HORIZON AIR,Oregon,Landing Roll,Small,European starling,Day,0,0,0,
LIHUE ARPT,B-737-200,,1997-02-03,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Barn owl,Dawn,0,0,0,135.0
HOUSTON-HOBBY,HAWKER-SDLY HS125,,2001-05-13,BUSINESS,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-757-200,,1999-09-18,AMERICAN AIRLINES,DC,Approach,Small,European starling,Day,0,0,0,140.0
SAN FRANCISCO INTL ARPT,MD-80,,1999-11-08,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
SACRAMENTO INTL,B-737-300,,1999-02-14,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,170.0
NEWARK LIBERTY INTL ARPT,MD-88,,2000-09-23,DELTA AIR LINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
BARKSDALE AIR FORCE BASE ARPT,B-52H,,1996-04-11,MILITARY,Louisiana,Take-off run,Small,Cattle egret,Night,0,0,0,150.0
PORT COLUMBUS INTL,MD-88,Minor,1997-12-29,DELTA AIR LINES,Ohio,Approach,Large,Unknown bird - large,Dusk,0,0,0,190.0
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,,1996-08-13,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
LOGAN INTL,MD-80,Substantial,1993-04-18,AMERICAN AIRLINES,Massachusetts,Climb,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,,1996-08-21,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120.0
DALLAS/FORT WORTH INTL ARPT,MD-80,,1991-12-20,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,MD-82,,1996-07-15,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
GREATER PITTSBURGH,B-737-300,Medium,1997-10-07,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
KANSAS CITY INTL,B-757-200,,2001-03-23,UPS AIRLINES,Missouri,Climb,Large,Unknown bird - large,Night,0,0,0,210.0
DENVER INTL AIRPORT,B-757-200,,1997-10-27,UNITED AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,
JOHN F KENNEDY INTL,A-300,,1994-04-04,AMERICAN AIRLINES,New York,Take-off run,Medium,Herring gull,Day,0,0,0,120.0
SAN FRANCISCO INTL ARPT,B-737-400,,1994-02-18,US AIRWAYS*,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120.0
FORT LAUDERDALE/HOLLYWOOD INTL,MD-80,,2000-10-07,US AIRWAYS*,Florida,Climb,Medium,Unknown bird - medium,Day,0,0,0,275.0
SACRAMENTO INTL,B-737,,2000-06-28,SOUTHWEST AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,,1992-04-25,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,155.0
CHARLESTON AFB/INTL ARPT,KC-10A,,1993-04-27,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Day,0,0,0,160.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,Minor,2000-08-29,DELTA AIR LINES,Kentucky,Climb,Large,Unknown bird - large,Dusk,0,0,0,180.0
SAN FRANCISCO INTL ARPT,B-767-300,,1999-07-03,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
PHOENIX SKY HARBOR,B-737-300,,1998-03-05,AMERICA WEST AIRLINES,Arizona,Approach,Small,Unknown bird - small,Night,0,0,0,137.0
LAGUARDIA NY,B-727,,2000-06-30,DELTA AIR LINES,New York,Landing Roll,Small,European starling,Day,0,0,0,100.0
CHARLESTON AFB/INTL ARPT,C-130H,B,2002-06-29,MILITARY,South Carolina,Take-off run,Small,Rock pigeon,Day,0,636405,636405,105.0
ORLANDO INTL,CL-RJ100/200,,1998-11-07,COMAIR AIRLINES,Florida,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
SAN FRANCISCO INTL ARPT,B-737-300,Substantial,1999-12-13,UNITED AIRLINES,California,Take-off run,Small,Western meadowlark,Day,0,37046,37046,
ATLANTIC CITY INTL,KC-10A,,1998-11-04,MILITARY,New Jersey,Climb,Medium,Unknown bird - medium,Day,0,0,0,145.0
ATLANTIC CITY INTL,PA-31 NAVAJO,,1990-10-25,UNKNOWN,New Jersey,Descent,Medium,Unknown bird - medium,Night,0,0,0,185.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-120,,2000-05-29,COMAIR AIRLINES,Kentucky,Approach,Small,European starling,Day,0,0,0,120.0
CHICAGO O'HARE INTL ARPT,FOKKER F28 MK 1000,,2000-08-30,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,160.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,,1997-09-25,COMAIR AIRLINES,Kentucky,Landing Roll,Small,Horned lark,Day,0,0,0,120.0
MEMPHIS INTL,A-300,Minor,1998-03-31,FEDEX EXPRESS,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,137.0
LIHUE ARPT,DC-9-50,,1999-10-19,HAWAIIAN AIR,Hawaii,Take-off run,Small,Pacific golden-plover,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,B-737-300,,1994-06-19,US AIRWAYS*,South Carolina,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
ORLANDO INTL,B-757-200,,2000-10-30,AMERICA WEST AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,170.0
BARKSDALE AIR FORCE BASE ARPT,B-52H,,1999-05-20,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160.0
WASHINGTON DULLES INTL ARPT,FOKKER F100,,1999-03-01,US AIRWAYS*,DC,Climb,Medium,Ring-billed gull,Day,0,0,0,130.0
LOS ANGELES INTL,B-737-300,,1990-08-09,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,165.0
TETERBORO AIRPORT,HAWKER-SDLY HS125,Minor,2001-05-01,BUSINESS,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,781,781,250.0
SACRAMENTO INTL,B-737-300,,1999-04-15,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
SACRAMENTO INTL,B-737-200,Minor,1999-11-21,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,46924,46924,
WILL ROGERS WORLD ARPT,FOKKER F100,,1999-09-07,AMERICAN AIRLINES,Oklahoma,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100.0
KANSAS CITY INTL,B-727,,1995-10-01,TRANS WORLD AIRLINES,Missouri,Climb,Small,Unknown bird - small,Night,0,0,0,135.0
SACRAMENTO INTL,FOKKER F28 MK 4000,Minor,1998-01-04,HORIZON AIR,California,Approach,Large,Unknown bird - large,Day,0,0,0,
CHARLESTON AFB/INTL ARPT,C-17A,,1999-08-12,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,220.0
LOUISVILLE INTL ARPT,DC-8,,1995-03-06,UPS AIRLINES,Kentucky,Approach,Large,Unknown bird - large,Night,0,0,0,120.0
WILL ROGERS WORLD ARPT,B-737-300,,2000-10-22,SOUTHWEST AIRLINES,Oklahoma,Approach,Large,Unknown bird - large,Night,0,0,0,135.0
RONALD REAGAN WASHINGTON NATL,DC-9-30,,1990-10-25,US AIRWAYS*,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,150.0
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-300,,1998-07-01,SOUTHWEST AIRLINES,Florida,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,120.0
CHICAGO O'HARE INTL ARPT,MD-80,,1994-09-06,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,155.0
SACRAMENTO INTL,MD-82,,2000-09-05,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
WASHINGTON DULLES INTL ARPT,DC-10,,1993-03-30,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
INDIANAPOLIS INTL,B-737-300,,2001-07-29,US AIRWAYS*,Indiana,Climb,Small,European starling,Dusk,0,0,0,
NEWARK LIBERTY INTL ARPT,B-737-300,,1995-10-25,CONTINENTAL AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-737-300,,1997-10-10,US AIRWAYS*,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,135.0
LAGUARDIA NY,A-320,,2001-06-08,US AIRWAYS*,New York,Take-off run,Small,Rock pigeon,Day,0,0,0,
PHOENIX SKY HARBOR,DC-8,Minor,1992-05-13,UPS AIRLINES,Arizona,Approach,Large,Unknown bird - large,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,ATR-42,,1993-08-23,AMERICAN EAGLE AIRLINES,Illinois,Take-off run,Medium,Herring gull,Day,0,0,0,
ATLANTA INTL,L-1011,,1994-08-28,DELTA AIR LINES,Georgia,Landing Roll,Small,Unknown bird - small,Night,0,0,0,100.0
BALTIMORE WASH INTL,B-737-500,,1995-08-23,SOUTHWEST AIRLINES,Maryland,Approach,Medium,Unknown bird - medium,Day,0,0,0,120.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,FOKKER F100,,1998-11-04,AMERICAN AIRLINES,Kentucky,Approach,Large,Unknown bird - large,Night,0,0,0,
ATLANTA INTL,B-717-200,,2001-10-13,AIRTRAN AIRWAYS,Georgia,Approach,Small,Rock pigeon,Day,0,0,0,140.0
EPPLEY AIRFIELD,B-727-200,,1999-10-25,UNITED AIRLINES,Nebraska,Climb,Large,Unknown bird - large,Day,0,0,0,200.0
CHARLOTTE/DOUGLAS INTL ARPT,B-737-200,Medium,1993-10-24,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
BARKSDALE AIR FORCE BASE ARPT,KC-135R,,2000-05-24,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,,1993-08-03,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,135.0
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,,1994-09-03,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Dawn,0,0,0,140.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737,,1995-08-10,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
INDIANAPOLIS INTL,DC-9-30,,1995-09-29,NORTHWEST AIRLINES,Indiana,Take-off run,Small,Unknown bird - small,Day,0,0,0,
